I,1,Cog,3.75,14,4,40,12
O,2,Spring,2.3,7,5,20,C1
O,3,Screw,0.11,280,100,1000,CompanyLtd
O,4,part1,1.34,15,2,15,me
I,5,part2,1.23,11,1,11,1
O,6,p3,1.0,11,1,13,ebgef
I,7,p111,1.23,11,2,12,23
O,8,part10,1.51,5,2,19,none
I,10,part11,1.23,1,1,9,123
I,11,part12,1.89,3,1,8,124
O,12,Part100,2.34,10,4,10,NewCompany
O,13,Part200,10.4,10,10,12,MyCompany
I,14,M,1.0,2,1,10,100
I,15,Part1,100.0,15,5,30,5
I,16,festar,50.0,1,2,3,2
I,17,festar,-15.0,-15,-5,-30,-15
I,18,M,2.0,50,45,99,45
I,19,M,2.0,50,45,99,45
I,20,M,2.0,50,45,99,45
I,21,M,20.0,15,10,25,-2
I,22,M,1.0,2,1,10,100
I,23,Part1,100.0,15,5,30,5
I,24,M,2.0,50,45,99,45
I,25,M,2.0,50,45,99,45
I,26,M,2.0,50,45,99,45
I,27,M,1.0,2,1,10,100
I,28,Part1,100.0,15,5,30,5
I,29,M,2.0,50,45,99,45
I,30,M,2.0,50,45,99,45
I,31,M,2.0,50,45,99,45
I,32,M,1.0,2,1,10,100
I,33,Part1,100.0,15,5,30,5
I,34,M,2.0,50,45,99,45
I,35,M,2.0,50,45,99,45
I,36,M,2.0,50,45,99,45
P,1,Clock,7.45,7,2,20,1:2:3
P,2,product2,12.34,12,1,12,4
P,4,products4,11.0,2,1,10,5:8:7:7
P,5,MyNewProduct,100.0,102,100,150,2:13
