I,1,Part1,100.0,15,5,30,5
I,2,M,2.0,50,45,99,45
I,3,M,2.0,50,45,99,45
I,4,M,2.0,50,45,99,45
I,5,Part1,100.0,15,5,30,5
I,6,M,2.0,50,45,99,45
I,7,M,2.0,50,45,99,45
I,8,M,2.0,50,45,99,45
I,9,M,1.0,2,1,10,100
I,10,N,1.0,2,1,10,100
I,11,P,1.0,2,1,10,100
I,12,Part1,100.0,15,5,30,5
I,13,M,2.0,50,45,99,45
I,14,M,2.0,50,45,99,45
I,15,M,2.0,50,45,99,45
I,16,M,1.0,2,1,10,100
I,17,N,1.0,2,1,10,100
I,18,P,1.0,2,1,10,100
I,19,Part1,100.0,15,5,30,5
I,20,M,2.0,50,45,99,45
I,21,M,2.0,50,45,99,45
I,22,M,2.0,50,45,99,45
